"","LD1","LD2","LD3","1","2","3","4"
"MORA15_MORA15",5.5236875264925,1.58692725421429,0.558085299061616,0,0,1,0
"SRB13_SRB13",4.88437554910806,0.634845791804168,1.79251026663244,0,0,1,0
"SRB26_SRB26",3.34475443365471,-0.258330329636985,0.714169439803952,0,0,1,0
"SRB4_SRB4",2.94621820790317,-0.0487479827133783,1.02779661678385,0,0,1,0
"SRB7_SRB7",5.38509982240083,2.03256312891033,0.415892886554011,0,0,1,0
"SLBA1_SLBA1",5.00938351142517,0.0116547949877574,0.419579702133651,0,0,1,0
"SLBA2_SLBA2",4.30709251063108,0.466452827405375,-0.328772652504344,0,0,1,0
"SLBA3_SLBA3",3.94854652319967,-0.191104066588189,1.70441801479,0,0,1,0
"SLBA4_SLBA4",3.13699553465186,-1.38200671319426,-0.580634631497238,0,0,1,0
"BAR1_BAR1",2.32524465865473,0.0821755313799671,1.61332460207605,0,0,1,0
"BAR2_BAR2",5.25499077955533,-0.0616306058349869,1.77895294051622,0,0,1,0
"BAR3_BAR3",4.84016194160119,-2.05748425622435,2.53360586789477,0,0,1,0
"BAR5_BAR5",4.46583029978063,-0.051660799093602,1.67989686574053,0,0,1,0
"ESMI1_ESMI1",3.10378651565621,-0.43172909643574,1.02345184904076,0,0,1,0
"ESMI2_ESMI2",4.00033554678996,-0.0269953205302416,0.652448823229188,0,0,1,0
"ESPV1_ESPV1",4.32117425138017,0.00141623507303804,1.59209885936685,0,0,1,0
"ESPV3_ESPV3",4.62761285570698,-0.0362368331797007,1.45383524512804,0,0,1,0
"ESPV4_ESPV4",4.45128593699964,-0.784219319603331,0.303171893759766,0,0,1,0
"ESPV5_ESPV5",3.91576516984373,0.168775315829876,1.65011432062634,0,0,1,0
"ESVA1_ESVA1",4.62870273896546,-1.29500313110412,1.57189308340683,0,0,1,0
"ESZA13_ESZA13",4.67461217384875,0.560300022683731,1.80689961784335,0,0,1,0
"ESZA2_ESZA2",3.71494926575907,-1.03260487896009,0.786575725253013,0,0,1,0
"ESZA71_ESZA71",2.23968140805239,0.132698377170683,0.624685123048188,0,0,1,0
"ESZA72_ESZA72",4.20316234678925,0.0528265579999584,1.69526051138332,0,0,1,0
"ESZA95_ESZA95",4.62107092534543,0.467767628113618,1.60379804084193,0,0,1,0
"MAB4_MAB4",4.13612409051591,-0.390489505904888,1.56285681592352,0,0,1,0
"MAB5_MAB5",4.87527020009994,0.00034278693914344,1.99647481048404,0,0,1,0
"Mall4_Mall4",4.10750747114055,0.816496506252923,0.778899661894263,0,0,1,0
"Mall5_Mall5",3.2055994938896,-0.0805378477639995,0.729322475186078,0,0,1,0
"Mall6_Mall6",4.30890129686907,0.660736339864117,0.781500853577679,0,0,1,0
"Mall8_Mall8",3.54302794388136,0.417425286630737,0.626575272954737,0,0,1,0
"MAT1_MAT1",5.18076523162154,1.13258946026768,1.61280324105394,0,0,1,0
"MAT3_MAT3",5.91914567901973,-0.315740645952815,1.53293858701374,0,0,1,0
"MAT4_MAT4",3.04202824290387,-0.274353092541328,0.876660591988559,0,0,1,0
"MUR1_MUR1",4.52682895543106,1.2984837664217,1.95162401403697,0,0,1,0
"MUR2_MUR2",4.65580504501734,0.792738767726314,0.853426342833561,0,0,1,0
"MUR3_MUR3",3.99453986422366,1.57126068395861,1.16279258183279,0,0,1,0
"MUR4_MUR4",3.43186886498571,0.21081544081589,1.86223239345614,0,0,1,0
"MUR5_MUR5",4.47284250125728,-0.502483780568209,1.27425739381544,0,0,1,0
"Val1_Val1",3.45944285990916,-0.608028097515171,1.45768668118091,0,0,1,0
"Val10_Val10",4.43056125260089,1.57572524960634,0.0888983350896107,0,0,1,0
"Val4_Val4",5.0438478431276,0.168025336882743,1.27739318635385,0,0,1,0
"Val8_Val8",2.87189286536403,1.53263450463137,-0.824163018153946,0,0,1,0
"AAM1_AAM1",4.84853754076111,-0.0113082864678947,1.10465110103186,0,0,1,0
"AAM3_AAM3",3.00579971914172,0.99222101540482,0.517365302207105,0,0,1,0
"AAM4_AAM4",5.5684145489504,-0.28348227420133,1.12496561373655,0,0,1,0
"AAM5_AAM5",3.21153250157742,-0.531388078138985,0.962600372762769,0,0,1,0
"AAM6_AAM6",3.46365518935824,-0.21046220162396,1.71919709641734,0,0,1,0
"AAM7_AAM7",4.67404314493155,0.53059342710413,0.187833550782209,0,0,1,0
"AAM8_AAM8",3.83548828893237,-0.283405618659093,1.94905166066678,0,0,1,0
"CHBA1_CHBA1",6.05415457715092,-0.347156325464498,0.442716962045824,0,0,1,0
"CHBA4_CHBA4",3.95077003951215,0.553091064462249,2.39684535629631,0,0,1,0
"CHBA5_CHBA5",5.73933468747893,1.59623182938576,1.74331568129844,0,0,1,0
"CHBA6_CHBA6",3.17710087028938,-0.21325989039818,2.12527780450291,0,0,1,0
"CHBA7_CHBA7",3.61374900003258,1.07723008149615,-0.338743557693728,0,0,1,0
"CHBE1_CHBE1",5.72017344421065,-0.29189226792447,1.97793525585497,0,0,1,0
"CHBE120_CHBE120",5.34988089565829,1.09585299923074,1.44136919760745,0,0,1,0
"CHBE122_CHBE122",3.79882683190392,1.29589908650457,2.09216324051633,0,0,1,0
"CHBL3_CHBL3",5.73828974961731,-0.093014365157172,1.1798185811949,0,0,1,0
"CHCAS1_CHCAS1",4.22298941687886,0.735116740090225,0.603256514106916,0,0,1,0
"CHCAS2_CHCAS2",4.31727683355902,-0.493605031133873,1.2993481848811,0,0,1,0
"CHCAS4_CHCAS4",4.78575611596126,-0.144495458793587,2.75884960550335,0,0,1,0
"CHCAS7_CHCAS7",3.26137438916378,-0.839853021602904,0.426595276290787,0,0,1,0
"CHCAS8_CHCAS8",3.79555324218817,-0.20606633679378,0.891286080132008,0,0,1,0
"CHCH1_CHCH1",3.59273844773924,-1.29245216831722,1.34938878635145,0,0,1,0
"CHCH2_CHCH2",4.94496623164786,0.556831281331247,0.321745293376984,0,0,1,0
"CHCO10_CHCO10",4.61993918047988,1.09979628516712,1.70977889342011,0,0,1,0
"CHCO11_CHCO11",4.09151745983316,-0.311386870387554,1.04303961666442,0,0,1,0
"CHCO12_CHCO12",4.6015901267019,0.183581717740563,0.876636044177007,0,0,1,0
"CHCO14_CHCO14",0.640829023147745,4.02092103057501,0.39866054295866,0,0,1,0
"CHCO15_CHCO15",2.09840279196249,0.352858935720825,1.07654506089071,0,0,1,0
"CHCO3_CHCO3",3.5841804724115,-0.779105989224658,2.05762424919638,0,0,1,0
"CHCO6_CHCO6",5.40313057307022,-0.0592620283485709,2.10250860900122,0,0,1,0
"CHKE1_CHKE1",3.92114076601487,-0.556628571325414,1.59357648572332,0,0,1,0
"CHLU1_CHLU1",3.91033751676858,1.0483538327357,1.88632217397299,0,0,1,0
"CHLU2_CHLU2",4.75709974316908,0.0632816938629949,1.44713829452338,0,0,1,0
"CHLU3_CHLU3",2.47221676242312,-0.19041102074913,1.69177703964631,0,0,1,0
"CHNE2_CHNE2",4.36114751830483,-0.0534014522079566,1.21301924505617,0,0,1,0
"CHNE3_CHNE3",3.88212623320039,-0.420430097920255,1.7828811059995,0,0,1,0
"CHNE4_CHNE4",5.25655937477388,-0.019528710097026,2.07700691299144,0,0,1,0
"CHNE5_CHNE5",4.36349730370905,-0.348294476254615,0.745503977326843,0,0,1,0
"CHNO1_CHNO1",4.9305217987421,0.394793717638491,0.958759340712478,0,0,1,0
"CHNO2_CHNO2",4.52530134312052,0.961457930560723,1.15457302799367,0,0,1,0
"CHPR2_CHPR2",4.77650762150791,1.23966343242067,0.991491661002181,0,0,1,0
"CHSOR1_CHSOR1",3.01028427793465,-1.19606809276438,0.297873453667971,0,0,1,0
"TH10_TH10",4.28446358068729,-0.671033157905457,1.14311714144323,0,0,1,0
"TH3_TH3",2.88803558692385,0.262924812847069,-0.434859815412499,0,0,1,0
"TH4_TH4",4.70969840581022,0.366892882717098,1.5867028482336,0,0,1,0
"TH5_TH5",4.2075811360165,1.10497372347631,0.80728252590725,0,0,1,0
"TH7_TH7",5.10670823689412,0.433569741576737,0.726273408234376,0,0,1,0
"TH9_TH9",4.49948885624256,0.698220049137658,2.11747221772293,0,0,1,0
"TL1_TL1",3.2787278384092,-1.32643190817976,1.2154168854242,0,0,1,0
"TL2_TL2",2.85173113079545,0.783249349029051,1.54391400148811,0,0,1,0
"TL3_TL3",3.83792244785093,0.624210465650576,1.10660461276609,0,0,1,0
"TL4_TL4",4.76831778399581,-1.18106131178914,0.625665163531593,0,0,1,0
"TL5_TL5",3.92860389508069,0.937042987656315,1.82749146940256,0,0,1,0
"TL6_TL6",4.89457954988698,-1.22358067854274,0.824633158192732,0,0,1,0
"TL7_TL7",5.5273635691024,-0.429738863498942,1.64365213862893,0,0,1,0
"TL8_TL8",4.35328834851375,1.0167556477031,1.48002228351647,0,0,1,0
"USSU11_USSU11",3.03344890193332,0.225909625959019,0.649910080915656,0,0,1,0
"USSU12_USSU12",6.07415943653521,0.0510418408880564,1.95724972787155,0,0,1,0
"USSU13_USSU13",4.10567430373403,0.331757339053117,3.06732103014494,0,0,1,0
"USSU4_USSU4",4.20110711624259,0.419494386973706,0.885222976616363,0,0,1,0
"USSU5_USSU5",5.29688367431183,-0.14799645928728,-0.1362661399781,0,0,1,0
"USSU7_USSU7",2.57494705371884,0.344099205595078,1.73014880103332,0,0,1,0
"alb_vanu18_02_alb_vanu18_02",-6.31261865460307,17.0077181782953,-0.319420582838481,1,0,0,0
"alb_vanu18_03_alb_vanu18_03",-7.38772225580995,16.5906662700959,-0.138810891664657,1,0,0,0
"alb_vanu18_05_alb_vanu18_05",-6.80031290194864,18.5983170986191,-0.869631005265781,1,0,0,0
"alb_vanu18_06_alb_vanu18_06",-5.65900829167345,16.8495308325475,0.527290939865466,1,0,0,0
"alb_vanu18_09_alb_vanu18_09",-5.07275066231109,14.4932056517172,-1.65445434690546,1,0,0,0
"alb_vanu18_11_alb_vanu18_11",-6.37259729917771,18.4268847648244,-0.587641580927065,1,0,0,0
"alb_vanu18_12_alb_vanu18_12",-6.4189726028171,17.5101575179439,0.652897995921572,1,0,0,0
"alb_vanu18_16_alb_vanu18_16",-6.41641771453329,15.7597607042203,-0.23244493377781,1,0,0,0
"A002_A002",-3.26204375147789,-1.09083133540689,-4.30972974547556,0,1,0,0
"A003_A003",-1.32635076376185,-0.648334369656425,-4.24308110766447,0,1,0,0
"A050_A050",-2.3587160507985,-1.32253051847741,-6.21702186055696,0,1,0,0
"A076_A076",-1.43716343072183,-2.03875781821722,-4.71746997056395,0,1,0,0
"A098_A098",-1.37545100707281,-2.02791220385083,-5.1797441368283,0,1,0,0
"A119_A119",-0.547431101876543,-0.51096645818494,-4.05731110872313,0,1,0,0
"A120_A120",-0.686182000895172,-1.27154847020604,-4.6122281312942,0,1,0,0
"A137_A137",-0.962774148494616,-0.855979039041934,-5.20641597142385,0,1,0,0
"A145_A145",0.643128214865883,-1.42158550378373,-4.4953228850123,0,1,0,0
"A146_A146",-1.1288322887775,-1.02969015976332,-4.98927487501221,0,1,0,0
"A177_A177",-0.154383251662312,0.262532683650225,-5.20273013500901,0,1,0,0
"A204_A204",-1.29958118303865,-1.22374679064091,-4.11824583851185,0,1,0,0
"A243_A243",-2.24693714639836,-0.251353473088586,-5.87490481422934,0,1,0,0
"A246_A246",-1.31359047771442,-2.18094031538096,-5.93328302964411,0,1,0,0
"CHN_alb_228_CHN_alb_228",-1.98881598409143,-1.04767358974918,-2.93270589067496,0,1,0,0
"CHN_alb_239_CHN_alb_239",-0.891473445877127,-1.20124434230111,-2.71791554000057,0,1,0,0
"HKG10_HKG10",-0.63540920309807,-1.61414552041402,-5.64724047163512,0,1,0,0
"HKG2_HKG2",-1.48405308571754,-2.34861206026522,-3.74699323649553,0,1,0,0
"HKG4_HKG4",-1.59436313476345,-0.246868166961883,-5.62340721719398,0,1,0,0
