"","LD1","LD2","1","2","3"
"ESPV1_ESPV1",-2.7886240442084,-4.73753678135754,1,0,0
"ESPV3_ESPV3",-3.08024983023283,-4.30695180681617,1,0,0
"ESPV4_ESPV4",-3.66618997674395,-3.85820840089538,1,0,0
"ESPV5_ESPV5",-3.43551490075328,-4.14084779332187,1,0,0
"ESVA1_ESVA1",-2.68452434545152,-4.82483229006008,1,0,0
"ESZA13_ESZA13",-3.34972256078949,-4.76876033343521,1,0,0
"ESZA2_ESZA2",-3.15190565112324,-3.7728636232645,1,0,0
"ESZA71_ESZA71",-3.14739799385661,-2.26545049459959,1,0,0
"ESZA72_ESZA72",-4.11216664811542,-4.19183494784356,1,0,0
"ESZA95_ESZA95",-3.03786241827484,-4.8016026808216,1,0,0
"MAB4_MAB4",-2.83250665426748,-3.91368775997016,1,0,0
"MAB5_MAB5",-2.61342358813629,-5.05778261833138,1,0,0
"Mall4_Mall4",-2.74369713460986,-3.36574066081036,1,0,0
"Mall5_Mall5",-2.35566544152008,-3.19541710025328,1,0,0
"Mall6_Mall6",-1.57446710753656,-4.03779343584778,1,0,0
"Mall8_Mall8",-2.34423379549947,-2.85649474564434,1,0,0
"MAT1_MAT1",-3.10597850316397,-5.60758323096281,1,0,0
"MAT3_MAT3",-4.13579305558069,-5.63453053407507,1,0,0
"MAT4_MAT4",-2.73317188753011,-3.15089558145724,1,0,0
"MUR1_MUR1",-3.64102517846833,-4.98671948163134,1,0,0
"MUR2_MUR2",-3.50437974978678,-4.27899581890936,1,0,0
"MUR3_MUR3",-3.82292002210748,-3.5413934914464,1,0,0
"MUR4_MUR4",-3.07709511726798,-4.03930999722708,1,0,0
"MUR5_MUR5",-2.23243571048831,-4.78418416145196,1,0,0
"Val1_Val1",-2.21090642476972,-3.67710735369222,1,0,0
"Val10_Val10",-3.61694024659865,-3.84054447154947,1,0,0
"Val4_Val4",-3.42092530389473,-4.91908183716339,1,0,0
"Val8_Val8",-2.70225058759549,-2.05266700065936,1,0,0
"AAM1_AAM1",-2.44570230662247,-4.81458242138869,1,0,0
"AAM3_AAM3",-4.65726491905964,-2.41407891831193,1,0,0
"AAM4_AAM4",-4.01930399567562,-4.68816868049808,1,0,0
"AAM5_AAM5",-1.61872603584501,-3.19651743634829,1,0,0
"AAM6_AAM6",-1.88526243540734,-3.98365209680807,1,0,0
"AAM7_AAM7",-3.15369746808997,-3.98071233159795,1,0,0
"AAM8_AAM8",-2.29063115063387,-4.33409018957007,1,0,0
"CHBA1_CHBA1",-3.41985523923816,-4.98064617986767,1,0,0
"CHBA4_CHBA4",-3.64234924559036,-4.44672876015903,1,0,0
"CHBA5_CHBA5",-3.77167379930099,-5.45873754334765,1,0,0
"CHBA6_CHBA6",-2.859584784063,-4.12215494740472,1,0,0
"CHBA7_CHBA7",-3.43564861753541,-2.56775129773694,1,0,0
"CHBE1_CHBE1",-3.76915685472949,-6.24484357400767,1,0,0
"CHBE120_CHBE120",-3.18168867787462,-5.40591566138802,1,0,0
"CHBE122_CHBE122",-3.37118855192306,-4.37158967222047,1,0,0
"CHBL3_CHBL3",-2.77598855042578,-5.40524308686431,1,0,0
"CHCAS1_CHCAS1",-3.37703804272794,-3.70558989916933,1,0,0
"CHCAS2_CHCAS2",-3.52772510893439,-4.41032766869757,1,0,0
"CHCAS4_CHCAS4",-3.61569958137002,-5.26604592458343,1,0,0
"CHCAS7_CHCAS7",-3.06907773023103,-2.92846889150708,1,0,0
"CHCAS8_CHCAS8",-2.46089468255269,-3.63392088434262,1,0,0
"CHCH1_CHCH1",-2.70816467592392,-3.68886805010111,1,0,0
"CHCH2_CHCH2",-1.6953996733983,-4.30899882096092,1,0,0
"CHCO10_CHCO10",-2.75953404700037,-4.95885759256084,1,0,0
"CHCO11_CHCO11",-2.95057483455234,-4.00727656400283,1,0,0
"CHCO12_CHCO12",-2.90699007947664,-4.20522206442019,1,0,0
"CHCO14_CHCO14",-2.88577071135132,-0.725803095243408,0.999,0,0.001
"CHCO15_CHCO15",-2.91190070700786,-2.23921043169824,1,0,0
"CHCO3_CHCO3",-3.64117701390104,-4.05415570866109,1,0,0
"CHCO6_CHCO6",-2.73478096067777,-5.70284440337276,1,0,0
"CHKE1_CHKE1",-2.25648964706558,-4.3831483583748,1,0,0
"CHLU1_CHLU1",-3.89421997343504,-4.05496930619044,1,0,0
